name,lon,lat
OTHER OFFENSES,-122.37598915809185,37.7301576924252
ASSAULT,-122.41360932898488,37.784696907903964
OTHER OFFENSES,-122.41210374614464,37.795280932700294
OTHER OFFENSES,-122.40583247448238,37.7857446545609
WEAPON LAWS,-122.40901120663872,37.78113405682432
DRUG/NARCOTIC,-122.40901120663872,37.78113405682432
VEHICLE THEFT,-122.40458662986923,37.71544327871366
DRUG/NARCOTIC,-122.4214269222,37.794602827240745
WARRANTS,-122.4214269222,37.794602827240745
FRAUD,-122.43229983570549,37.770858435750384
OTHER OFFENSES,-122.40665710243755,37.79602395759873
VANDALISM,-122.41210374614464,37.795280932700294
TRESPASS,-122.41210374614464,37.795280932700294
STOLEN PROPERTY,-122.40901120663872,37.78113405682432
OTHER OFFENSES,-122.5102257490522,37.767244220961615
DRUG/NARCOTIC,-122.43362342174571,37.726235830472156
WARRANTS,-122.40714930465734,37.806426731678975
WEAPON LAWS,-122.37598915809185,37.7301576924252
VEHICLE THEFT,-122.43229983570549,37.770858435750384
ROBBERY,-122.41316313427592,37.77499264453848
OTHER OFFENSES,-122.5102257490522,37.767244220961615
VANDALISM,-122.45687596888612,37.723954565473534
DRUG/NARCOTIC,-122.41107142306448,37.7817511307229
ASSAULT,-122.41107142306448,37.7817511307229
OTHER OFFENSES,-122.45318992389228,37.77685244563183
TRESPASS,-122.41966671791742,37.77468233298753
WEAPON LAWS,-122.44258037880728,37.7499584666104
OTHER OFFENSES,-122.3904169554735,37.73559261058619
OTHER OFFENSES,-122.40357873483343,37.71278547024513
OTHER OFFENSES,-122.41854061855506,37.78407618638385
OTHER OFFENSES,-122.44553734203959,37.77114175542071
OTHER OFFENSES,-122.41687288366363,37.75876402011318
LARCENY/THEFT,-122.40669059226074,37.785207191841934
TRESPASS,-122.42680687725492,37.77113513268058
OTHER OFFENSES,-122.41966671791742,37.77468233298753
DRUG/NARCOTIC,-122.40583247448238,37.7857446545609
WARRANTS,-122.41431785788087,37.77994440520465
WARRANTS,-122.43352736417505,37.804033180650364
OTHER OFFENSES,-122.44258037880728,37.7499584666104
DRUG/NARCOTIC,-122.41550824278185,37.78165428060756
DRUNKENNESS,-122.47910656170865,37.776543816722175
NON-CRIMINAL,-122.41809076669236,37.786100745164475
OTHER OFFENSES,-122.41762232101001,37.78377623856839
NON-CRIMINAL,-122.41583886146799,37.748687119609386
DRUG/NARCOTIC,-122.3904169554735,37.73559261058619
WEAPON LAWS,-122.40583247448238,37.7857446545609
VEHICLE THEFT,-122.38610070321093,37.738002011720795
OTHER OFFENSES,-122.40430877307665,37.742521892728135
OTHER OFFENSES,-122.43841991408009,37.7622902793044
OTHER OFFENSES,-122.43841991408009,37.7622902793044
WARRANTS,-122.43841991408009,37.7622902793044
WARRANTS,-122.41854061855506,37.78407618638385
WARRANTS,-122.41550824278185,37.78165428060756
DRUG/NARCOTIC,-122.42330463554804,37.722669446300344
TRESPASS,-122.46576419140798,37.78571976686954
TRESPASS,-122.4065209871443,37.785062942166064
OTHER OFFENSES,-122.41093920555171,37.779212259008546
VANDALISM,-122.43596491800184,37.76001224298727
SECONDARY CODES,-122.42329475171353,37.7706495415688
OTHER OFFENSES,-122.4073826865058,37.783371636824896
DRUG/NARCOTIC,-122.40822471727994,37.710612287458936
LARCENY/THEFT,-122.42090846898415,37.765776662119755
WARRANTS,-122.4065209871443,37.785062942166064
WARRANTS,-122.50936756681314,37.77896292139718
FRAUD,-122.41405629189116,37.782793107100616
LARCENY/THEFT,-122.46576419140798,37.78571976686954
DRUG/NARCOTIC,-122.41566966144343,37.78211984889314
DRUG/NARCOTIC,-122.41566966144343,37.78211984889314
ASSAULT,-122.39708918386793,37.753598788032654
OTHER OFFENSES,-122.41561633832019,37.768536012358325
LARCENY/THEFT,-122.4085684452275,37.788759421470324
ASSAULT,-122.39708918386793,37.753598788032654
FRAUD,-122.4089776054129,37.79108869095424
SUSPICIOUS OCC,-122.47564746078615,37.72852806274646
OTHER OFFENSES,-122.47564746078615,37.72852806274646
ROBBERY,-122.47564746078615,37.72852806274646
